,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
1340,16890,Prism (Robbie) (Earth-616),\/Prism_(Robbie)_(Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,28.0,Nov-86,1986.0
1341,5439,Samuel John LaRoquette (Earth-616),\/Samuel_John_LaRoquette_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,28.0,Mar-86,1986.0
1342,329884,Marcy Pearson (Earth-616),\/Marcy_Pearson_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,28.0,Apr-87,1987.0
1345,18539,Felix Alvarez (Earth-616),\/Felix_Alvarez_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,28.0,Jan-89,1989.0
1347,72602,Malcolm McBride (Earth-616),\/Malcolm_McBride_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,28.0,Apr-89,1989.0
1348,2444,Heather Tucker (Earth-616),\/Heather_Tucker_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,28.0,Feb-90,1990.0
1350,129966,Gudrun Tyburn (Earth-616),\/Gudrun_Tyburn_(Earth-616),Public Identity,Bad Characters,Brown Eyes,White Hair,Female Characters,,Living Characters,28.0,Jun-92,1992.0
1352,75398,Roderick Campbell (Earth-616),\/Roderick_Campbell_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,28.0,Dec-93,1993.0
1353,19614,Devlor (Earth-616),\/Devlor_(Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,28.0,Aug-94,1994.0
1354,35889,Samuel Par\u00e9 (Earth-616),\/Samuel_Par%C3%A9_(Earth-616),Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Deceased Characters,28.0,Oct-02,2002.0
1355,177566,Dale Yorkes (Earth-616),\/Dale_Yorkes_(Earth-616),Public Identity,Bad Characters,Green Eyes,Grey Hair,Male Characters,,Deceased Characters,28.0,Jul-03,2003.0
1356,13246,Deborah Fields (Earth-616),\/Deborah_Fields_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,28.0,Nov-05,2005.0
1357,33269,Sydren (Earth-616),\/Sydren_(Earth-616),Public Identity,Good Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,28.0,May-05,2005.0
1358,120405,Bob (Hydra Agent) (Earth-616),\/Bob_(Hydra_Agent)_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,28.0,May-07,2007.0
1359,131062,Fat Cobra (Earth-616),\/Fat_Cobra_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,28.0,Oct-07,2007.0
1360,126258,Timothy Dugan (Skrull) (Earth-616),\/Timothy_Dugan_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,28.0,Jul-08,2008.0
1362,432991,Ai Apaec (Earth-616),\/Ai_Apaec_(Earth-616),Secret Identity,Bad Characters,White Eyes,Grey Hair,Male Characters,,Deceased Characters,28.0,Jan-11,2011.0
1363,494351,Kirsten McDuffie (Earth-616),\/Kirsten_McDuffie_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,28.0,Sep-11,2011.0
1364,607100,Emily Preston (Earth-616),\/Emily_Preston_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Agender Characters,,Living Characters,28.0,Jan-13,2013.0
1365,563804,Iara Dos Santos (Earth-616),\/Iara_Dos_Santos_(Earth-616),Secret Identity,Good Characters,Black Eyes,Brown Hair,Female Characters,,Living Characters,28.0,Jan-13,2013.0
1366,591658,Kevin Connor (Earth-616),\/Kevin_Connor_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,28.0,May-13,2013.0
1367,11045,Jack Frost (Earth-616),\/Jack_Frost_(Earth-616),Secret Identity,Good Characters,White Eyes,Blue Hair,Male Characters,,Living Characters,27.0,Aug-41,1941.0
1370,1302,Townshend Horgan (Earth-616),\/Townshend_Horgan_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,,Deceased Characters,27.0,Oct-65,1965.0
1371,16018,Hippolyta (Earth-616),\/Hippolyta_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,27.0,Apr-66,1966.0
1372,10488,Prester John (Johann) (Earth-616),\/Prester_John_(Johann)_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,27.0,Sep-66,1966.0
1374,1692,Gaza (Earth-616),\/Gaza_(Earth-616),Public Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,27.0,Nov-69,1969.0
1377,2425,Anton Miguel Rodriquez (Earth-616),\/Anton_Miguel_Rodriquez_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,27.0,Jul-74,1974.0
1383,2302,Kevin MacTaggert (Earth-616),\/Kevin_MacTaggert_(Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,27.0,Mar-79,1979.0
1384,2282,Marian Pouncy (Earth-616),\/Marian_Pouncy_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,27.0,Aug-79,1979.0
1386,6724,Sharon Friedlander (Earth-616),\/Sharon_Friedlander_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,27.0,Sep-84,1984.0
1387,439895,Rae LaCoste (Earth-616),\/Rae_LaCoste_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,27.0,Oct-87,1987.0
1390,18507,Carrie Alexander (Earth-616),\/Carrie_Alexander_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,27.0,Apr-90,1990.0
1393,37413,Martin Soap (Earth-616),\/Martin_Soap_(Earth-616),Public Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,,Living Characters,27.0,May-00,2000.0
1394,1570,Edith Sawyer (Earth-616),\/Edith_Sawyer_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,27.0,Jul-01,2001.0
1395,44006,Esme Cuckoo (Earth-616),\/Esme_Cuckoo_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,27.0,Nov-01,2001.0
1396,8856,Ezekiel Sims (Earth-616),\/Ezekiel_Sims_(Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,27.0,Jun-01,2001.0
1397,177564,Catherine Wilder (Earth-616),\/Catherine_Wilder_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,27.0,Jul-03,2003.0
1400,131517,Michael van Patrick (Patrick) (Earth-616),\/Michael_van_Patrick_(Patrick)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,27.0,Aug-07,2007.0
1401,126161,Faiza Hussain (Earth-616),\/Faiza_Hussain_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,27.0,Jul-08,2008.0
1402,495279,Leah (Earth-616),\/Leah_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,27.0,Aug-11,2011.0
1404,15686,Dionysus Acratophorus (Earth-616),\/Dionysus_Acratophorus_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,26.0,Apr-49,1949.0
1405,11837,Xemnu (Earth-616),\/Xemnu_(Earth-616),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,,Living Characters,26.0,Nov-60,1960.0
1408,1629,Gary Gilbert (Earth-616),\/Gary_Gilbert_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,26.0,Jul-70,1970.0
1409,2429,Arnold Paffenroth (Earth-616),\/Arnold_Paffenroth_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,26.0,Sep-73,1973.0
1410,1647,Carl Walker (Earth-616),\/Carl_Walker_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,26.0,Jan-74,1974.0
1411,24675,Heather Duncan (Earth-616),\/Heather_Duncan_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,26.0,May-74,1974.0
1414,67740,James Scully (Earth-616),\/James_Scully_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,,Living Characters,26.0,Aug-75,1975.0
1416,15059,Moses Magnum (Earth-616),\/Moses_Magnum_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,26.0,Apr-75,1975.0
1417,62550,Janus Tepes (Earth-616),\/Janus_Tepes_(Earth-616),Public Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,26.0,Dec-76,1976.0
1420,1446,Lester Verde (Earth-616),\/Lester_Verde_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,26.0,Aug-77,1977.0
1421,1722,Matthew Gilden (Earth-616),\/Matthew_Gilden_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,26.0,Mar-77,1977.0
1422,28969,Gary Cody (Earth-616),\/Gary_Cody_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,26.0,Feb-78,1978.0
1423,2342,SJ3RX (Earth-616),\/SJ3RX_(Earth-616),Secret Identity,Neutral Characters,Silver Eyes,No Hair,Male Characters,,Living Characters,26.0,Jan-78,1978.0
1424,15860,Curtiss Jackson (Earth-616),\/Curtiss_Jackson_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,26.0,Jun-79,1979.0
1425,1492,Earthquake (Earth-616),\/Earthquake_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,No Hair,Male Characters,,Living Characters,26.0,Sep-80,1980.0
1426,16749,Leong Coy Manh (Earth-616),\/Leong_Coy_Manh_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,26.0,Dec-80,1980.0
1427,2068,Sunset Bain (Earth-616),\/Sunset_Bain_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,26.0,Oct-80,1980.0
1430,1667,Eugene Patilio (Earth-616),\/Eugene_Patilio_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,,Living Characters,26.0,Sep-82,1982.0
1431,73304,Victor Palermo (Earth-616),\/Victor_Palermo_(Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,26.0,Dec-82,1982.0
1432,2348,Revanche (Kwannon) (Earth-616),\/Revanche_(Kwannon)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,26.0,Dec-89,1989.0
1439,9153,Adrian Corbo (Earth-616),\/Adrian_Corbo_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,26.0,Jul-97,1997.0
1440,3994,John Watkins III (Earth-616),\/John_Watkins_III_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,26.0,Dec-00,2000.0
1442,99059,John King (Earth-616),\/John_King_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,26.0,Jul-02,2002.0
1443,15902,Brian Cruz (Earth-616),\/Brian_Cruz_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,26.0,May-04,2004.0
1444,128671,Amatsu-Mikaboshi (Earth-616),\/Amatsu-Mikaboshi_(Earth-616),Secret Identity,Bad Characters,Gold Eyes,Black Hair,Male Characters,,Living Characters,26.0,Feb-06,2006.0
1445,15557,Maria Vasquez (Earth-616),\/Maria_Vasquez_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,26.0,Oct-06,2006.0
1446,22800,Sinclair Abbott (Earth-616),\/Sinclair_Abbott_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,Deceased Characters,26.0,Feb-06,2006.0
1447,123137,Jeff Brown (Earth-616),\/Jeff_Brown_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,26.0,Jun-07,2007.0
1449,273179,Michele Gonzales (Earth-616),\/Michele_Gonzales_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,26.0,May-09,2009.0
1450,568715,Darla Deering (Earth-616),\/Darla_Deering_(Earth-616),Public Identity,Good Characters,Brown Eyes,Pink Hair,Female Characters,,Living Characters,26.0,Dec-12,2012.0
1451,559119,Jia Jing (Earth-616),\/Jia_Jing_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,26.0,Dec-12,2012.0
1452,559112,Trevor Hawkins (Earth-616),\/Trevor_Hawkins_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,26.0,Dec-12,2012.0
1453,627377,Anna Maria Marconi (Earth-616),\/Anna_Maria_Marconi_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,26.0,May-13,2013.0
1455,7341,Claire Voyant (Earth-616),\/Claire_Voyant_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,Blond Hair,Female Characters,,Living Characters,25.0,Aug-40,1940.0
1456,89270,Heinz Kruger (Earth-616),\/Heinz_Kruger_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,25.0,Mar-41,1941.0
1457,241281,Suwan (Earth-616),\/Suwan_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25.0,Oct-56,1956.0
1458,2547,Jerold Morgan (Earth-616),\/Jerold_Morgan_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,25.0,Apr-58,1958.0
1461,1906,Kaluu (Earth-616),\/Kaluu_(Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,Black Hair,Male Characters,,Living Characters,25.0,Aug-66,1966.0
1464,4379,Hyperion (Squadron Sinister) (Earth-616),\/Hyperion_(Squadron_Sinister)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,25.0,Oct-69,1969.0
1465,18123,Taj Nital (Earth-616),\/Taj_Nital_(Earth-616),No Dual Identity,Good Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,25.0,Jul-72,1972.0
1466,2242,Robert Frank Jr. (Earth-616),\/Robert_Frank_Jr._(Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,25.0,Aug-74,1974.0
1467,1203,Joseph Manfredi (Earth-616),\/Joseph_Manfredi_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,25.0,Feb-75,1975.0
1471,2633,Fritz von Meyer (Earth-616),\/Fritz_von_Meyer_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,25.0,Jul-77,1977.0
1472,2251,Peter Quinn (Earth-616),\/Peter_Quinn_(Earth-616),Secret Identity,Bad Characters,White Eyes,Bald,Male Characters,,Deceased Characters,25.0,Nov-77,1977.0
1473,15711,Elysius (Earth-616),\/Elysius_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,25.0,Nov-78,1978.0
1475,1342,"Han, Chang, Lin, Sun, and Ho Tao-Yu (Earth-616)","\/Han,_Chang,_Lin,_Sun,_and_Ho_Tao-Yu_(Earth-616)",Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,25.0,Aug-80,1980.0
1476,16767,Nga Coy Manh (Earth-616),\/Nga_Coy_Manh_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,25.0,Dec-80,1980.0
1477,130556,Harry Osgood (Earth-616),\/Harry_Osgood_(Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,25.0,Apr-81,1981.0
1479,73250,Rose Palermo (Earth-616),\/Rose_Palermo_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,25.0,Dec-82,1982.0
1480,57756,Katherine Waynesboro (Earth-616),\/Katherine_Waynesboro_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25.0,Sep-83,1983.0
1481,1182,Black Fox (Thief) (Earth-616),\/Black_Fox_(Thief)_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,25.0,Aug-84,1984.0
1482,36717,Sheoke Sanada (Earth-616),\/Sheoke_Sanada_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25.0,Jan-84,1984.0
1485,1219,Bloodscream (Earth-616),\/Bloodscream_(Earth-616),Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,,Living Characters,25.0,Feb-89,1989.0
1486,129496,Andrea Sterman (Earth-616),\/Andrea_Sterman_(Earth-616),No Dual Identity,Good Characters,Black Eyes,Blond Hair,Female Characters,,Living Characters,25.0,Dec-90,1990.0
1487,15383,Achilles (Helmut) (Earth-616),\/Achilles_(Helmut)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,25.0,Mar-91,1991.0
1488,1682,Jeremy Stevens (Earth-616),\/Jeremy_Stevens_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,25.0,Dec-91,1991.0
1490,73849,Stacy Arnheim (Earth-616),\/Stacy_Arnheim_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25.0,Jun-92,1992.0
1491,16306,Garabed Bashur (Earth-616),\/Garabed_Bashur_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,25.0,Sep-93,1993.0
1493,29208,Desiree Winthrop (Earth-616),\/Desiree_Winthrop_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,25.0,Jan-96,1996.0
1494,4685,Arlette Truffaut (Earth-616),\/Arlette_Truffaut_(Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,25.0,Aug-97,1997.0
1496,16910,Vincent Stewart (Earth-616),\/Vincent_Stewart_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,25.0,Jul-02,2002.0
1497,22156,Adriana Soria (Earth-616),\/Adriana_Soria_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,25.0,Aug-04,2004.0
1500,23531,Maya Hansen (Earth-616),\/Maya_Hansen_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,25.0,Jan-05,2005.0
1501,267622,Axeman Bone (Earth-616),\/Axeman_Bone_(Earth-616),No Dual Identity,Good Characters,Yellow Eyes,Bald,Male Characters,,Living Characters,25.0,Aug-08,2008.0
1502,444922,Yuri Watanabe (Earth-616),\/Yuri_Watanabe_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,25.0,Sep-09,2009.0
1505,11416,Elizabeth Barstow (Earth-616),\/Elizabeth_Barstow_(Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,24.0,Apr-41,1941.0
1508,12889,Dorrek VII (Earth-616),\/Dorrek_VII_(Earth-616),Public Identity,Bad Characters,Green Eyes,Bald,Male Characters,,Deceased Characters,24.0,Sep-63,1963.0
1509,8751,Frederick Duncan (Earth-616),\/Frederick_Duncan_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,24.0,Nov-63,1963.0
1515,35635,William Drake (Earth-616),\/William_Drake_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,24.0,May-68,1968.0
1516,11793,Yandroth (Earth-616),\/Yandroth_(Earth-616),Public Identity,Bad Characters,Grey Eyes,Bald,Male Characters,,Living Characters,24.0,Jan-68,1968.0
1517,26873,Michael Marko (Earth-616),\/Michael_Marko_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,24.0,Jun-69,1969.0
1518,2431,Cornelius van Lunt (Earth-616),\/Cornelius_van_Lunt_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,24.0,Jan-70,1970.0
1519,2548,Shuma-Gorath (Multiverse),\/Shuma-Gorath_(Multiverse),Secret Identity,Bad Characters,One Eye,No Hair,Male Characters,,Living Characters,24.0,Nov-72,1972.0
1520,1324,Curtis Carr (Earth-616),\/Curtis_Carr_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24.0,Aug-73,1973.0
1521,11477,Gabriel (Devil-Hunter) (Earth-616),\/Gabriel_(Devil-Hunter)_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,24.0,Jul-74,1974.0
1522,14441,Condor (Nova Foe) (Earth-616),\/Condor_(Nova_Foe)_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,,Living Characters,24.0,Oct-76,1976.0
1523,1291,Griffin Gogol (Earth-616),\/Griffin_Gogol_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,24.0,Dec-76,1976.0
1525,391047,Nicholas Fury (LMD) (Earth-616),\/Nicholas_Fury_(LMD)_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,24.0,Apr-77,1977.0
1528,7425,Alan Fagan (Earth-616),\/Alan_Fagan_(Earth-616),Secret Identity,Bad Characters,Hazel Eyes,Silver Hair,Male Characters,,Living Characters,24.0,Apr-80,1980.0
1531,5587,Lorina Dodson (Earth-616),\/Lorina_Dodson_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,24.0,Jul-83,1983.0
1532,2261,Phastos (Earth-616),\/Phastos_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,24.0,Oct-85,1985.0
1533,4627,Abigail Wright (Earth-616),\/Abigail_Wright_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Pink Hair,Female Characters,,Living Characters,24.0,Dec-87,1987.0
1534,13241,Aaron Chord (Earth-616),\/Aaron_Chord_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24.0,Aug-90,1990.0
1537,13449,Ajax (Pantheon) (Earth-616),\/Ajax_(Pantheon)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,24.0,Mar-91,1991.0
1539,15083,Paibok (Earth-616),\/Paibok_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,24.0,Nov-91,1991.0
1540,1893,Sublime (Earth-616),\/Sublime_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,,,Living Characters,24.0,Jun-91,1991.0
1543,21543,Jillian Woods (Earth-616),\/Jillian_Woods_(Earth-616),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,24.0,Apr-93,1993.0
1545,19280,Clarice Ferguson (Earth-616),\/Clarice_Ferguson_(Earth-616),Secret Identity,Good Characters,Green Eyes,Magenta Hair,Female Characters,,Living Characters,24.0,Oct-94,1994.0
1546,10128,Andrea Roarke (Earth-616),\/Andrea_Roarke_(Earth-616),Secret Identity,Bad Characters,Variable Eyes,Blond Hair,Female Characters,,Living Characters,24.0,Jul-96,1996.0
1548,19449,Giacomo Fortunato (Earth-616),\/Giacomo_Fortunato_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24.0,Jul-96,1996.0
1549,4022,Pierre Fresson (Earth-616),\/Pierre_Fresson_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,24.0,Jun-97,1997.0
1551,15599,Adrienne Frost (Earth-616),\/Adrienne_Frost_(Earth-616),Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Deceased Characters,24.0,Mar-99,1999.0
1552,3809,Trey Rollins (Earth-616),\/Trey_Rollins_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,24.0,Jun-99,1999.0
1553,2172,Mister X (Earth-616),\/Mister_X_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,24.0,Feb-01,2001.0
1555,5589,Kevin Cole (Earth-616),\/Kevin_Cole_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24.0,Dec-02,2002.0
1556,177576,Janet Stein (Earth-616),\/Janet_Stein_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,24.0,Jul-03,2003.0
1557,177584,Leslie Dean (Earth-616),\/Leslie_Dean_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,24.0,Jul-03,2003.0
1558,3971,Kelsey Leigh (Earth-616),\/Kelsey_Leigh_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,24.0,Mar-04,2004.0
1559,260743,Overdrive (Earth-616),\/Overdrive_(Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,24.0,Jun-07,2007.0
1560,514278,Carson Wyche (Earth-616),\/Carson_Wyche_(Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,24.0,Jul-10,2010.0
1561,454953,Cul Borson (Earth-616),\/Cul_Borson_(Earth-616),Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,,Living Characters,24.0,Jun-11,2011.0
1562,469415,Kade Kilgore (Earth-616),\/Kade_Kilgore_(Earth-616),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,24.0,Sep-11,2011.0
1570,18859,Janice Cord (Earth-616),\/Janice_Cord_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,23.0,Jun-68,1968.0
1571,4562,Lani Ubanu (Earth-616),\/Lani_Ubanu_(Earth-616),Secret Identity,Bad Characters,White Eyes,Blond Hair,Female Characters,,Living Characters,23.0,Dec-69,1969.0
1575,2524,Set (Earth-616),\/Set_(Earth-616),Public Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,23.0,Jul-71,1971.0
